Researcher	First Name	Surname	Title	Name	Department	Europe	North America	Latin Am. & Carribean	S SE & E Asia	Central & Western Asia	Northern Africa	Subsaharan Africa	Oceania	Artic	Critique of knowledge production	Managing Metabolic processes	Empowerment and inequality	Imagining the future	Understanding the past	Biodiversity	Air	Built Environment	Energy	Representations	Transport	Waste	Water	Food	Abiotic resources	Environment / climate	Human Wellbeing (IRIS)	Materials (IRIS)	Global Health (IRIS)	Intercultural Interaction (IRIS)	"Energy, Envir. & Transport (IRIS)"	Public Policy & Governance (IRIS)	Sustainable Cities (IRIS)	Risk & Security (IRIS)	Systems Engineering (IRIS)
ETERA70	Emma	Terama	Dr	Jorge Fiori	"Civil, Environmental and Geomatic Engineering"											1	1	1		1		1							1		1				1	1	1		
ETRUT92	Evelina	Trutnevyte	Dr	James Wilson	UCL Energy Institute	1														1		1	1							1					1	1			
EVOMV99	Eleni	Vomvyla	Miss	Jonathon Taylor	Library Services	1										1	1		1					1															
EVONB15	Etienne	Von Bertrab	Mr	Julien Harou	Development Planning Unit			1								1	1										1										1		
FCACI43	Franco	Cacialli	Prof	Julian Walker	Physics & Astronomy													1					1									1			1		1		1
FCARA87	Francesco Caravelli			Julia Day	"Civil, Environmental and Geomatic Engineering"	1										1		1				1																	
FCOEL01	Filipa	Wunderlich	Dr	Jerome Lewis	School of Planning										1	1						1									1			1		1	1		
FCUIT66	Felix	Ciuta	Dr	Jann Matlock	Sch of Slavonic & East European Studies	1									1	1	1						1													1		1	
FELLX23	Michael	Fell	0	Jenny Mindell	UCL Energy Institute											1						1	1																
FMEDD49	Francesca	Medda	Dr	John Kelsey	"Civil, Environmental and Geomatic Engineering"																	1			1														
FNASI05	Fuzhan	Nasiri	Dr	Johnathan  Gardner	The Bartlett School of Graduate Studies		1									1						1	1				1								1		1		1
FWUXX57	Fulong	Wu	Prof	James Paskins	School of Planning				1						1	1						1																	
FZHAN24	Fangzhu	Zhang	Dr	Jan-Peter Muller	School of Planning				1							1		1				1																	
GANAN46	Gabrial	Anandarajah	Dr	Philip Steadman	UCL Energy Institute	1										1							1	1											1				
GASHI56	Graham	Shields	Dr	Janice  Morphet	Earth Sciences				1	1						1										1			1										
GEMOO39	Gemma	Moore	Miss	SAJURIA GARCES JAVIER EMILIO	UCL Public Engagement Unit	1									1	1	1					1						1											
GHDUI16	Ger	Duijzings	Dr	Julia Stegemann	Sch of Slavonic & East European Studies	1										1	1		1			1												1	1		1		
GIBBE88	Alex	Gibberd	0	0 0	Security and Crime Science											1								1															
GMANO69	Yeoryia	Manolopoulou	Dr	Junwang Tang	School of Architecture	1											1	1				1								1	1	1					1		
GMANO86	George	Manos	Dr	Jonathon Gardner 	Chemical Engineering													1								1													
GMHUE67	Gesche	Huebner	Dr	Joanna Williams	UCL Energy Institute	1										1	1						1												1				
GOWEN88	Gillian	Owen	Dr	Jung Won Sonn	UCL Australia	1										1							1				1												
GUILB03	Joel	Guilbald	0	Kinda Al-Sayed	UCL Energy Institute		1	1					1			1							1						1										
HALTA34	Hector	Altamirano	Dr	Katherine 0	The Bartlett School of Graduate Studies											1						1	1								1		1		1				
HBORR81	Herv_	Borrion	Dr	Keith Dugmore	Security and Crime Science											1						1																1	
HDALY60	Hannah	Daly	Dr	Kalliopi Fouseki	UCL Energy Institute	1										1							1		1										1				
HDIMI13	Harry	Dimitriou	Prof	Katherine Holt	School of Planning	1			1							1	1					1			1														
HFACH67	Andy	Chow	Dr	Kyle Jamieson	"Civil, Environmental and Geomatic Engineering"											1									1										1			1	1
HJENE78	Hayley	Newman	Dr	Kayvan Karimi	Slade School of Fine Art	1										1		1	1			1					1	1		1					1		1		
HJOFF28	Helene	Joffe		Kirsty Revell	Psychology & Language Sciences		1		1	1							1	1				1		1						1			1						
HPOWE89	Hilary	Powell	Dr	Katherine Homewood	School of Architecture										1							1		1								1					1		
HSMYT78	Hedley	Smyth	Dr	William Suen	School of Construction & Project Mgt								1			1						1																	
HTITH94	Helena	Titheridge	Dr	Kevin Mansfield	"Civil, Environmental and Geomatic Engineering"	1										1						1	1												1		1		
HUGEL48	Stephen	Hugel	0	Karl Woodbridge	Centre for Advanced Spatial Analysis	1										1	1					1			1														
IHAMI19	Ian	Hamilton	Mr	Ka- Man  Lai	UCL Energy Institute	1	1									1		1				1	1												1	1	1		
IHAMI75	Iqbal	Hamiduddin	Dr	Licia Capra	School of Planning	1										1						1			1						1				1	1	1		
IJKEP80	Ilkka	Keppo	Dr	Luiza Campos	UCL Energy Institute											1		1					1							1					1				
IMBOR56	Iain	Borden	Prof	Lena Ciric	School of Architecture										1				1			1		1											1		1		
IPAPA54	Ioannis	Papakonstantinou	Dr	Liza Griffin	Electronic & Electrical Eng													1					1						1			1			1				
ISTEE12	Ine	Steenmans	0	Liora Malki-Epshtein	"Civil, Environmental and Geomatic Engineering"		1									1						1	1			1	1												
JACHE16	James	Cheshire	Dr	Ljiljana Marjanovic- Halburd	Centre for Advanced Spatial Analysis											1						1		1										1			1		
JAFOR22	Adrian	Forty	Prof	Luca Mazzei	School of Architecture													1				1																	
JAMFE87	Jessica	Ferm	Dr	NARVAEZ ZERTUCHE LAURA PATRICIA	School of Planning	1										1	1					1																	
JBHOL08	Jane	Holder	Prof	Laura Vaughan	Faculty of Laws	1									1		1			1																			
JBLUM96	Jochen	Blumberger	Dr	Tingting Lu 	Physics & Astronomy													1					1									1							
JDAVI65	Julio	Davila	Dr	Michele Acuto	Development Planning Unit	1		1	1	1		1				1	1					1			1	1	1						1		1	1	1		
JDROB71	Jennifer	Robinson	Prof	Mark Altaweel	Geography							1			1		1		1			1																	
JDTWI48	John	Twigg	Dr	Milagros Ruiz	"Civil, Environmental and Geomatic Engineering"											1	1	1				1											1				1	1	
JEADE85	John	Eade	Prof	Hane Aung	Geography	1									1			1				1																	
JEZST74	Jack	Stilgoe	Dr	Martin Austwick	Science & Technology Studies												1	1										1			1				1	1		1	
JFIOR23	Jorge	Fiori	Mr	Michelle Baddeley	Development Planning Unit			1								1	1					1															1		
JGSWI10	James	Wilson	Dr	MArk Barrett	Philosophy										1	1		1				1									1		1						
JGTAY63	Jonathon	Taylor	Mr	Marco Bianconi	The Bartlett School of Graduate Studies	1									1	1		1			1	1	1												1		1	1	
JHARO88	Julien	Harou	Dr	Marc Brightman	"Civil, Environmental and Geomatic Engineering"										1	1											1												
JHWAL18	Julian	Walker	Mr	Matthew Carmona	Development Planning Unit	1			1	1	1	1				1	1					1									1			1			1		
JJDAY99	Julia	Day	Dr	Matteo Carpentieri	"Genetics, Evolution & Environment"																						1												
JLEWI60	Jerome	Lewis	Dr	May Cassar	Anthropology							1				1	1		1	1				1									1						
JMATL52	Jann	Matlock	Dr	Marjan Colletti	French	1									1				1			1		1													1		
JMIND63	Jenny	Mindell	Dr	Michael Davies	Epidemiology & Public Health	1										1		1							1						1				1		1		
JMKEL46	John	Kelsey	Mr	Michelle Shipworth	School of Construction & Project Mgt				1							1						1												1	1		1		
Johnathan Gardner	Johnathan	 Gardner	0	Michael Edwards	Institute of Archaeology	1							1						1			1																	
JOPAS99	James	Paskins	Dr	Murray Fraser	VP: Research											1	1								1										1		1		
JPALM41	Jan-Peter	Muller	Prof	Muki Haklay	Space & Climate Physics											1				1															1		1		
JPSTE93	Philip	Steadman	Prof	Michael Heinrich	School of Architecture	1										1						1	1		1										1				
JRMOR19	Janice	 Morphet	Dr	Michael  Hebbert	School of Planning	1									1	1						1									1				1	1	1		
