URL,Researcher,Name,Title,Department,Europe,North America,Latin Am. & Carribean,S SE & E Asia,Central & Western Asia,Northern Africa,Subsaharan Africa,Oceania,Artic,Critique of knowledge production,Managing Metabolic processes,Empowerment and inequality,Imagining the future,Understanding the past,Biodiversity,Air,Built Environment,Energy,Representations,Transport,Waste,Water,Food,Abiotic resources,Environment / climate,Human Wellbeing (IRIS),Materials (IRIS),Global Health (IRIS),Intercultural Interaction (IRIS),"Energy, Envir. & Transport (IRIS)",Public Policy & Governance (IRIS),Sustainable Cities (IRIS),Risk & Security (IRIS),Systems Engineering (IRIS)
http://iris.ucl.ac.uk/iris/browse/profile?upi=AVARL77,AVARL77,Anne  Varley,Prof,Geography,,,1,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=BBOKO90,BBOKO90,OKON BASSEY BASSEY,0,School of Construction & Project Mgt,1,,,,,,1,,,,1,,,,,,,1,,,1,1,,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=BCAHI26,BCAHI26,Bryan Cahill,Mr,"Civil, Environmental and Geomatic Engineering",,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,
http://www.bartlett.ucl.ac.uk/planning/people/mphil-phd-students/brian-garcia,BGARC29,GARCIA BRIAN PAUL,0,School of Planning,1,1,1,1,,,,,,,1,,,,,,1,,,1,,,,,1,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=BGARD38,BGARD38,Ben Gardner Sood,Dr,Epidemiology & Public Health,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=BGHEY05,BGHEY05,Benjamin Heydecker,Prof,"Civil, Environmental and Geomatic Engineering",1,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,1,,1,,1,1,1
http://iris.ucl.ac.uk/iris/browse/profile?upi=BJCAM61,BJCAM61,Ben Campkin,Dr,School of Architecture,1,,,,,,,,,1,1,1,1,1,,,1,,1,,1,,,,,,,1,,,,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=BJFCR68,BJFCR68,Ben Croxford,Dr,The Bartlett School of Graduate Studies,,,,,,,,,,,1,,1,,,,1,1,,,,,,,,1,,,,1,,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=BJPEN61,BJPEN61,Barbara Penner,Dr,School of Architecture,1,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,1,,1,,,,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=BLIPI88,BLIPI88,Barbara Lipietz,Dr,Development Planning Unit,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,1,1,,
http://iris.ucl.ac.uk/iris/browse/profile?upi=BOUWE04,BOUWE04,Kim Bouwer,0,UCL Energy Institute,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,
